track_name,artist,album,track_url,preview_url,artist_url,genres,file_location,spectrogram
Guillotine,Stray From The Path,Guillotine,https://api.spotify.com/v1/tracks/5mWs0zabZrREJBFfFCLhyj,https://p.scdn.co/mp3-preview/dbd5861d09ee540c0e8c9e2e49d9810bb9583205?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/5tGG1slV9pkcydU5eQSIvm,"['deathcore', 'punk', 'melodic', 'hardcore', 'metalcore']",../data/audio/Guillotine-Stray From The Path.wav,../data/images/spectrograms/Guillotine_Stray From The Path_spectro.png
Vermin,Allegaeon,DAMNUM,https://api.spotify.com/v1/tracks/6FDLIsQnjDx5KvI2586BAh,https://p.scdn.co/mp3-preview/7d8fba2941244a72534db22869bebd198a1f036d?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/5NIvyOvy39ljx9w71rnCS1,"['melodeath', 'metal', 'melodic', 'death', 'technical']",../data/audio/Vermin-Allegaeon.wav,../data/images/spectrograms/Vermin_Allegaeon_spectro.png
Put Your Back Into The Oar,Amon Amarth,Put Your Back Into The Oar,https://api.spotify.com/v1/tracks/4fY2JR0REUiykvzRw61sk9,https://p.scdn.co/mp3-preview/d2253d713457b378154c8f26917bc9ad0f8344c3?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/3pulcT2wt7FEG10lQlqDJL,"['death', 'metal', 'melodic', 'melodeath', 'folk']",../data/audio/Put Your Back Into The Oar-Amon Amarth.wav,../data/images/spectrograms/Put Your Back Into The Oar_Amon Amarth_spectro.png
Make Believe,Memphis May Fire,Make Believe,https://api.spotify.com/v1/tracks/5NLi9YVXt9pMAXS068FY9o,https://p.scdn.co/mp3-preview/50d174c4df0bdff72f776c9159248331a4928605?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/7cNNNhdJDrt3vgQjwSavNf,"['melodic', 'metalcore', 'post-hardcore', 'screamo']",../data/audio/Make Believe-Memphis May Fire.wav,../data/images/spectrograms/Make Believe_Memphis May Fire_spectro.png
Dystopia (feat. Christoph Wieczorek of Annisokay),Caliban,Dystopia (feat. Christoph Wieczorek of Annisokay),https://api.spotify.com/v1/tracks/2WaaniEgnI8pUMjvpfUCBJ,https://p.scdn.co/mp3-preview/927ee1c9965680c17e2dfe6b6e57d66e89fee1d8?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/1oeo6cC9Fqa2bxxv67qBQL,"['deathcore', 'metalcore', 'post-hardcore', 'melodic']",../data/audio/Dystopia feat Christoph Wieczorek of Annisokay-Caliban.wav,../data/images/spectrograms/Dystopia feat Christoph Wieczorek of Annisokay_Caliban_spectro.png
Suffocate,LANDMVRKS,Suffocate,https://api.spotify.com/v1/tracks/530wk2tz33m2Rrsp7pdBB7,https://p.scdn.co/mp3-preview/bdc18131283bc56f2791b06ca9acc4f67f106de4?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/6G43CiunIxMwb2tQ12vNP6,['metalcore'],../data/audio/Suffocate-LANDMVRKS.wav,../data/images/spectrograms/Suffocate_LANDMVRKS_spectro.png
Couple Suicide,Annihilator,Metal II,https://api.spotify.com/v1/tracks/1Ut8XiSTo5R1iN4seoOmF5,https://p.scdn.co/mp3-preview/20bdb15b8fa3d77adda61bd976dfd28cb9b02088?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/0L8QRAAuWjqvTM8FpQ1gYO,"['metal', 'hard', 'rock', 'old-school', 'thrash', 'speed', 'technical', 'groove']",../data/audio/Couple Suicide-Annihilator.wav,../data/images/spectrograms/Couple Suicide_Annihilator_spectro.png
Gravity Falls,Manafest,Gravity Falls,https://api.spotify.com/v1/tracks/5HK1QvPOBDIJDG5HwnK0cY,https://p.scdn.co/mp3-preview/038fbafad8f5fcdc79411b0b5a6d50dbf76bd909?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/4uOFEWy9mIcvQbr03IbPcL,"['christian', 'alternative', 'rock', 'hip', 'hop', 'rap']",../data/audio/Gravity Falls-Manafest.wav,../data/images/spectrograms/Gravity Falls_Manafest_spectro.png
Blooded,Immolation,Acts Of God,https://api.spotify.com/v1/tracks/7KyNhITXAgyQTGCFN0birL,https://p.scdn.co/mp3-preview/73985f8809bba0bed6cfcadc685bbc6db719d97d?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/3rt16vhD1OuULlsyxUUWIt,"['death', 'metal', 'technical']",../data/audio/Blooded-Immolation.wav,../data/images/spectrograms/Blooded_Immolation_spectro.png
vein.mp3,Space Of Variations,vein.mp3,https://api.spotify.com/v1/tracks/2caeMa0CsO4yAaUO4Oxfgu,https://p.scdn.co/mp3-preview/32119f66dd38a017b378e70bcbed334eafb37600?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/6mcSNYbGthL93gHZEIdsw6,"['metal', 'metalcore']",../data/audio/veinmp3-Space Of Variations.wav,../data/images/spectrograms/veinmp3_Space Of Variations_spectro.png
